# Количество элементов	Время (мс)
0	0
100000	96
200000	172
300000	274
400000	333
500000	390
600000	536
700000	585
800000	646
900000	705
1000000	763
1100000	1021
1200000	1075
1300000	1170
1400000	1191
1500000	1246
1600000	1334
1700000	1362
1800000	1417
1900000	1476
2000000	1574
2100000	2049
2200000	2250
2300000	2022
2400000	2098
2500000	2212
2600000	2231
2700000	2294
2800000	2341
2900000	2418
3000000	2474
3100000	2491
3200000	2577
3300000	2622
3400000	2679
3500000	2746
3600000	2840
3700000	2866
3800000	2907
3900000	3007
4000000	3035
4100000	3124
4200000	3914
4300000	3912
4400000	3992
4500000	4062
4600000	4067
4700000	4214
4800000	4204
4900000	4278
5000000	4363
5100000	4409
5200000	4408
5300000	4524
5400000	4559
5500000	4648
5600000	4751
5700000	4717
5800000	4700
5900000	4858
6000000	4820
6100000	4916
6200000	4993
6300000	5092
6400000	5073
6500000	5172
6600000	5189
6700000	5282
6800000	5356
6900000	5372
7000000	5473
7100000	5545
7200000	5606
7300000	5576
7400000	5669
7500000	5779
7600000	5773
7700000	5874
7800000	5929
7900000	6003
8000000	6078
8100000	6143
8200000	6202
8300000	6293
8400000	7974
8500000	8041
8600000	7882
8700000	8029
8800000	8094
8900000	8180
9000000	8210
9100000	8255
9200000	8325
9300000	8371
9400000	8346
9500000	8428
9600000	8523
9700000	8535
9800000	8673
9900000	9415
10000000	9348
