# Количество элементов	MergeSort	QuickSort	HeapSort
0	0	0	0
100000	824	131	266
200000	1580	275	558
300000	2714	423	868
400000	3390	585	1176
500000	3953	741	1487
600000	5632	905	1814
700000	6399	1067	2127
800000	7094	1242	2490
900000	7738	1436	2844
1000000	8602	1815	3308
1100000	12067	2011	3632
1200000	12002	1980	3821
1300000	13099	2166	4153
1400000	13560	2297	4515
1500000	14322	2468	4929
1600000	15449	4448	12635
1700000	34852	6834	13676
1800000	23615	7298	6542
1900000	30279	3173	6243
2000000	17739	3388	6522
2100000	21421	3537	6880
2200000	23320	3695	7229
2300000	24353	3957	7578
2400000	25093	4428	8438
2500000	25881	4359	8343
2600000	26780	4450	8858
2700000	27490	4619	8991
2800000	28225	4884	9356
2900000	29111	4995	9699
3000000	29947	5174	10063
3100000	30559	5519	10746
3200000	31409	5590	10858
3300000	32074	5744	11269
3400000	32905	5979	12004
3500000	33626	6189	12297
3600000	35032	7029	12340
3700000	35989	6584	12750
3800000	35730	6704	12986
3900000	36408	6906	13337
4000000	37228	7094	13709
4100000	38170	7342	14256
4200000	87240	8626	16252
4300000	50403	8053	14896
4400000	50456	7966	15276
4500000	51574	8357	15555
4600000	52550	8323	16082
4700000	53466	8612	16435
4800000	54328	8789	16699
4900000	54898	8864	17148
5000000	56181	9043	17405
5100000	56531	9259	17950
5200000	57386	9437	18184
5300000	58504	9611	18509
5400000	59401	9854	18942
5500000	59842	10053	19448
5600000	60569	10217	19648
5700000	62003	10453	20100
5800000	63030	10791	20592
5900000	63991	11146	21210
6000000	65257	11348	21622
6100000	66105	11381	22032
6200000	66727	11755	22492
6300000	68093	11963	22559
6400000	68823	12184	23315
6500000	69860	12299	23606
6600000	70929	12668	24145
6700000	71105	12680	24283
6800000	71180	12783	24725
6900000	73335	13128	25209
7000000	74178	13458	25701
7100000	74751	13741	26052
7200000	75925	13775	26293
7300000	75588	13973	27215
7400000	76119	14075	26824
7500000	77201	14276	27340
7600000	77677	14378	27787
7700000	79100	14839	28157
7800000	79406	15148	28612
7900000	80207	15110	28747
8000000	80687	15418	29467
8100000	82291	15510	29650
8200000	83005	15861	30229
8300000	85155	16315	30886
8400000	104726	16506	31187
8500000	109172	16739	31778
8600000	109359	16836	31933
8700000	110801	16898	32180
8800000	112210	17039	32509
8900000	112904	17303	32884
9000000	114385	17470	33362
9100000	115778	17779	33994
9200000	116385	18048	34301
9300000	117081	18271	34566
9400000	119321	18569	34937
9500000	119765	18650	35399
9600000	120653	18870	35722
9700000	122513	19025	35928
9800000	124292	19296	36517
9900000	123839	19590	36914
10000000	126361	19639	37178
